MS2 m/z,Relative Intensity in %
117.4158,1.16
119.0496,4.06
132.1021,13.03
136.0756,100
137.0789,4.97
143.1178,42.39
144.1218,1.63
171.1127,29.69
185.554,1.21
207.1121,1.27
210.1596,2.16
235.1432,2.07
249.1598,1.38
261.1602,2.36
278.1386,1.85
288.6662,4.06
289.1554,2.31
295.1655,19.77
296.1681,1.38
324.1858,3.51
325.1601,1.58
338.1856,2.73
360.1671,1.15
370.1996,6.35
370.6992,2.28
373.7185,6.13
374.2206,2.68
377.1935,4.9
405.7176,1.81
455.2575,1.7
463.9252,1.55
464.9121,1.46
465.9136,1.84
481.9424,2.15
483.9198,1.61
488.2269,2.17
499.9526,1.66
505.2511,3.29
522.2817,1.53
534.3025,1.5
547.2974,3.24
548.2941,1.21
576.3232,6.6
577.3021,1.24
587.2943,1.71
604.3182,14.4
605.3083,2.38
621.3442,1.93
647.3614,5.48
648.3539,1.68
675.3557,15.5
676.359,7.82
678.3874,1.76
729.3961,1.51
735.4133,20
736.4099,7.79
739.3883,3.63
746.4297,22.47
747.4315,8.46
767.3805,8.07
768.382,3.7
774.426,26.84
775.4283,10.99
785.399,2.89
829.5922,1.28
838.4223,4.99
839.4126,1.88
898.4781,56.33
899.4736,33.38
909.4951,5.89
910.4859,3.73
937.4974,6.82
938.4798,4.99
969.5146,27.26
970.5112,18.82
